CMDLINE /Users/inki/anaconda/bin/python julia1_memoryprofiler1.py
MEM 0.234375 1510660611.8107
MEM 13.582031 1510660611.9131
MEM 21.351562 1510660612.0154
MEM 31.164062 1510660612.1190
MEM 30.714844 1510660612.2200
MEM 31.203125 1510660612.3224
MEM 32.738281 1510660612.4248
MEM 32.738281 1510660612.5276
MEM 32.742188 1510660612.6299
MEM 32.785156 1510660612.7313
MEM 32.921875 1510660612.8343
MEM 32.964844 1510660612.9356
MEM 32.964844 1510660613.0392
MEM 33.027344 1510660613.1443
MEM 33.175781 1510660613.2494
MEM 33.351562 1510660613.3545
MEM 33.351562 1510660613.4598
MEM 33.453125 1510660613.5619
MEM 33.457031 1510660613.6644
MEM 33.457031 1510660613.7657
MEM 33.457031 1510660613.8708
MEM 33.457031 1510660613.9711
MEM 33.457031 1510660614.0717
MEM 33.457031 1510660614.1768
MEM 33.457031 1510660614.2819
MEM 33.457031 1510660614.3868
MEM 33.457031 1510660614.4920
MEM 33.457031 1510660614.5971
MEM 33.457031 1510660614.7022
MEM 33.457031 1510660614.8073
MEM 33.457031 1510660614.9124
MEM 32.988281 1510660615.0175
MEM 33.011719 1510660615.1226
MEM 32.765625 1510660615.2245
MEM 32.777344 1510660615.3294
MEM 32.789062 1510660615.4340
MEM 32.761719 1510660615.5344
MEM 32.859375 1510660615.6377
MEM 32.949219 1510660615.7421
MEM 33.046875 1510660615.8472
MEM 33.136719 1510660615.9484
MEM 33.234375 1510660616.0535
MEM 33.332031 1510660616.1586
MEM 33.429688 1510660616.2618
MEM 33.523438 1510660616.3669
MEM 33.621094 1510660616.4720
MEM 33.722656 1510660616.5771
MEM 33.820312 1510660616.6822
MEM 33.914062 1510660616.7873
MEM 34.011719 1510660616.8883
MEM 34.109375 1510660616.9910
MEM 33.996094 1510660617.0912
MEM 34.089844 1510660617.1949
MEM 34.179688 1510660617.3001
MEM 34.273438 1510660617.4008
MEM 34.371094 1510660617.5041
MEM 34.460938 1510660617.6069
MEM 34.550781 1510660617.7089
MEM 34.640625 1510660617.8139
MEM 34.738281 1510660617.9179
MEM 34.828125 1510660618.0219
MEM 34.507812 1510660618.1269
MEM 34.617188 1510660618.2318
MEM 34.714844 1510660618.3358
MEM 34.820312 1510660618.4398
MEM 34.929688 1510660618.5442
MEM 35.023438 1510660618.6449
MEM 35.144531 1510660618.7460
MEM 35.242188 1510660618.8499
MEM 35.347656 1510660618.9549
MEM 35.445312 1510660619.0588
MEM 35.554688 1510660619.1639
MEM 35.660156 1510660619.2680
MEM 35.738281 1510660619.3730
MEM 35.839844 1510660619.4770
MEM 35.796875 1510660619.5820
MEM 35.902344 1510660619.6858
MEM 35.996094 1510660619.7859
MEM 36.101562 1510660619.8871
MEM 36.199219 1510660619.9915
MEM 36.304688 1510660620.0958
MEM 36.406250 1510660620.1998
MEM 36.511719 1510660620.3048
MEM 36.617188 1510660620.4068
MEM 36.539062 1510660620.5109
MEM 36.644531 1510660620.6138
MEM 36.742188 1510660620.7158
MEM 36.843750 1510660620.8169
MEM 36.949219 1510660620.9198
MEM 37.046875 1510660621.0230
MEM 37.152344 1510660621.1254
MEM 37.246094 1510660621.2270
MEM 37.351562 1510660621.3288
MEM 37.449219 1510660621.4325
MEM 37.457031 1510660621.5342
MEM 37.554688 1510660621.6348
MEM 37.660156 1510660621.7388
MEM 37.765625 1510660621.8408
MEM 37.867188 1510660621.9447
MEM 37.976562 1510660622.0467
MEM 38.085938 1510660622.1518
MEM 38.187500 1510660622.2546
MEM 38.296875 1510660622.3598
MEM 38.406250 1510660622.4640
MEM 38.183594 1510660622.5667
MEM 38.289062 1510660622.6707
MEM 38.398438 1510660622.7759
MEM 38.500000 1510660622.8797
MEM 38.609375 1510660622.9847
MEM 38.714844 1510660623.0881
MEM 38.812500 1510660623.1893
MEM 38.914062 1510660623.2897
MEM 39.011719 1510660623.3915
MEM 39.117188 1510660623.4930
MEM 39.214844 1510660623.5947
MEM 39.320312 1510660623.6958
MEM 39.421875 1510660623.7959
MEM 39.398438 1510660623.9003
MEM 39.488281 1510660624.0029
MEM 39.585938 1510660624.1053
MEM 39.675781 1510660624.2057
MEM 39.769531 1510660624.3108
MEM 39.867188 1510660624.4147
MEM 39.960938 1510660624.5197
MEM 40.062500 1510660624.6237
MEM 40.160156 1510660624.7288
MEM 40.265625 1510660624.8292
MEM 40.371094 1510660624.9295
MEM 40.476562 1510660625.0346
